city,state,original_name,violent_per_100k,homicide_per_100k,robbery_per_100k,assault_per_100k,data_year
Albuquerque,NM,"Albuquerque, N.M.",965.8,7.68,301.2,584.8,2015
Arlington,TX,"Arlington, Texas",502.1,2.06,136.5,309.9,2015
Atlanta,,Atlanta,1119.6,20.23,429.3,633.5,2015
Aurora,CO,"Aurora, Colo.",460.8,6.66,124.1,232.3,2015
Austin,TX,"Austin, Texas",372.5,2.45,99.0,219.2,2015
Baltimore,,Baltimore,1535.9,55.37,694.2,740.1,2015
Baltimore,MD,"Baltimore County, Md.",,,,,2015
Boston,,Boston,706.8,5.71,233.1,431.9,2015
Buffalo,NY,"Buffalo, N.Y.",1118.6,15.89,400.2,635.4,2015
Charlotte-Mecklenburg,NC,"Charlotte-Mecklenburg, N.C.",677.6,6.95,221.8,424.2,2015
Chicago,,Chicago,903.8,17.52,353.6,480.2,2015
Cincinnati,,Cincinnati,925.0,22.11,423.1,400.7,2015
Cleveland,,Cleveland,,,,,2015
Columbus,OH,"Columbus, Ohio",546.3,9.08,264.2,177.9,2015
Dallas,,Dallas,694.2,10.45,320.8,302.8,2015
Denver,,Denver,673.9,7.77,180.2,405.6,2015
Detroit,,Detroit,1759.6,43.82,513.5,1123.5,2015
El Paso,TX,"El Paso, Texas",366.6,2.48,59.8,257.4,2015
Fairfax,VA,"Fairfax County, Va.",88.4,1.27,40.2,35.1,2015
Fort Worth,TX,"Fort Worth, Texas",525.4,6.75,118.2,338.2,2015
Fresno,CA,"Fresno, Calif.",551.2,7.49,194.3,317.4,2015
Honolulu,,Honolulu,243.9,1.5,89.7,120.9,2015
Houston,,Houston,966.7,13.32,451.7,458.3,2015
Indianapolis,,Indianapolis,1288.0,17.14,440.2,752.3,2015
Jacksonville,FL,"Jacksonville, Fla.",648.3,11.18,161.2,421.6,2015
Kansas City,MO,"Kansas City, Mo.",1417.3,23.03,359.8,957.2,2015
Las Vegas,,Las Vegas,920.7,8.13,320.7,521.0,2015
Long Beach,CA,"Long Beach, Calif.",580.7,7.56,221.3,314.7,2015
Los Angeles,,Los Angeles,634.8,7.12,225.9,346.0,2015
Los Angeles,CA,"Los Angeles County, Calif.",465.2,8.81,109.0,320.1,2015
Louisville,KY,"Louisville, Ky.",631.8,11.9,227.0,362.8,2015
Memphis,TN,"Memphis, Tenn.",1740.1,20.52,475.9,1163.2,2015
Mesa,AZ,"Mesa, Ariz.",418.7,3.4,86.6,277.5,2015
Miami,,Miami,1021.3,17.12,383.8,602.1,2015
Miami-Dade,FL,"Miami-Dade County, Fla.",517.0,7.2,139.0,339.1,2015
Milwaukee,,Milwaukee,1596.1,24.15,624.4,874.9,2015
Minneapolis,,Minneapolis,1062.9,11.37,458.5,494.6,2015
Montgomery,MD,"Montgomery County, Md.",194.6,2.87,60.0,105.0,2015
Nashville,TN,"Nashville, Tenn.",1101.0,10.94,280.7,732.3,2015
Nassau,NY,"Nassau County, N.Y.",124.2,1.23,52.3,64.3,2015
New Orleans,,New Orleans,949.6,41.68,380.5,423.4,2015
New York City,,New York City,585.8,4.12,198.2,357.2,2015
Newark,NJ,"Newark, N.J.",1100.6,38.34,642.4,382.6,2015
Oakland,CA,"Oakland, Calif.",1442.5,20.26,784.3,570.0,2015
Oklahoma City,,Oklahoma City,765.6,11.58,189.0,488.9,2015
Omaha,NE,"Omaha, Neb.",515.0,10.61,144.8,321.1,2015
Orlando,FL,"Orlando, Fla.",940.6,11.92,194.5,666.4,2015
Philadelphia,,Philadelphia,1029.0,17.86,431.5,495.3,2015
Phoenix,,Phoenix,593.8,7.18,193.6,327.8,2015
Pittsburgh,,Pittsburgh,706.2,18.57,279.6,381.3,2015
Portland,OR,"Portland, Ore.",,,,,2015
Prince George's,MD,"Prince George's County, Md.",475.2,9.63,198.3,231.0,2015
Raleigh,NC,"Raleigh, N.C.",382.3,3.88,154.7,199.2,2015
Sacramento,CA,"Sacramento, Calif.",737.4,8.78,239.7,467.4,2015
Salt Lake City,,Salt Lake City,855.2,4.17,244.3,455.2,2015
San Antonio,,San Antonio,587.2,6.42,135.7,373.4,2015
San Diego,,San Diego,398.6,2.64,98.4,257.1,2015
San Francisco,,San Francisco,776.8,6.14,417.9,312.9,2015
San Jose,,San Jose,329.6,2.91,110.5,179.8,2015
Seattle,,Seattle,598.7,3.36,224.1,350.2,2015
St. Louis,MO,"St. Louis, Mo.",1817.1,59.29,564.5,1110.4,2015
Suffolk,NY,"Suffolk County, N.Y.",124.9,1.79,50.5,66.7,2015
Tampa,FL,"Tampa, Fla.",630.7,9.33,184.1,416.0,2015
Tucson,AZ,"Tucson, Ariz.",655.5,5.85,199.9,370.0,2015
Tulsa,OK,"Tulsa, Okla.",903.6,13.7,212.7,586.3,2015
Virginia Beach,VA,"Virginia Beach, Va.",138.3,4.2,59.6,51.7,2015
Washington,DC,"Washington, D.C.",1202.6,24.1,506.4,598.6,2015
Wichita,KS,"Wichita, Kan.",984.8,6.93,188.0,700.3,2015
