total_units,sf_per_unit,year_built,occupancy,in_place_rent,market_rent,noi_per_unit,property_class_encoded,market_cap_rate,median_income,population_millions,unemployment_rate,mortgage_rate,cpi_yoy_inflation,housing_starts,rental_vacancy_rate,treasury_spread,median_rent_census,value_per_unit,market,property_type,source
240,872,1998,0.94,1850,1950,12180,2,5.25,72000,2.8,3.8,6.75,3.2,1420,5.8,0.45,1650,232000,Austin TX,Multifamily,NCREIF_calibrated
180,915,2005,0.96,2100,2200,14280,3,5.10,85000,4.2,3.2,6.75,3.2,1420,5.8,0.45,1850,280000,Austin TX,Multifamily,NCREIF_calibrated
120,780,1988,0.91,1400,1550,9240,1,5.75,58000,2.8,4.5,6.75,3.2,1420,5.8,0.45,1350,160700,Austin TX,Multifamily,NCREIF_calibrated
320,940,2015,0.95,2400,2550,16560,3,5.00,95000,4.2,3.0,6.75,3.2,1420,5.8,0.45,2100,331200,Austin TX,Multifamily,NCREIF_calibrated
85,720,1975,0.88,1200,1380,7560,1,6.00,52000,2.8,5.2,6.75,3.2,1420,5.8,0.45,1180,126000,Austin TX,Multifamily,NCREIF_calibrated
210,860,2001,0.93,1750,1880,11550,2,5.40,69000,2.8,4.0,6.75,3.2,1420,5.8,0.45,1600,213900,Austin TX,Multifamily,NCREIF_calibrated
150,1020,2010,0.97,2650,2750,18480,3,4.95,105000,4.2,2.9,6.75,3.2,1420,5.8,0.45,2300,373300,Austin TX,Multifamily,NCREIF_calibrated
60,690,1970,0.85,1050,1250,6300,1,6.25,48000,2.8,5.8,6.75,3.2,1420,5.8,0.45,1100,100800,Austin TX,Multifamily,NCREIF_calibrated
280,890,2008,0.94,1980,2100,13200,2,5.20,78000,4.2,3.5,6.75,3.2,1420,5.8,0.45,1750,253800,Austin TX,Multifamily,NCREIF_calibrated
100,810,1995,0.92,1600,1720,10560,2,5.50,65000,2.8,4.2,6.75,3.2,1420,5.8,0.45,1500,192000,Austin TX,Multifamily,NCREIF_calibrated
